geoid,name,B13016001,"B13016001, Error",B13016002,"B13016002, Error",B13016003,"B13016003, Error",B13016004,"B13016004, Error",B13016005,"B13016005, Error",B13016006,"B13016006, Error",B13016007,"B13016007, Error",B13016008,"B13016008, Error",B13016009,"B13016009, Error",B13016010,"B13016010, Error",B13016011,"B13016011, Error",B13016012,"B13016012, Error",B13016013,"B13016013, Error",B13016014,"B13016014, Error",B13016015,"B13016015, Error",B13016016,"B13016016, Error",B13016017,"B13016017, Error"
86000US33624,"33624",9548,684,418,165,0,29,13,18,39,37,249,124,86,95,31,38,0,29,9130,673,1142,286,965,221,1465,293,1294,395,1021,239,1379,285,1864,291
86000US33625,"33625",7280,491,368,162,0,25,0,25,166,110,178,102,6,9,18,30,0,25,6912,521,813,262,676,200,1053,326,1036,279,891,268,1050,205,1393,288
86000US33626,"33626",8062,623,294,115,26,39,0,29,48,54,68,52,102,71,27,43,23,25,7768,613,976,231,878,250,582,174,1090,241,1372,310,1261,228,1609,276
86000US33629,"33629",6159,378,394,108,0,25,0,25,20,22,177,66,124,71,64,59,9,13,5765,380,743,235,386,129,463,139,893,199,1028,206,898,170,1354,210
86000US33634,"33634",5911,571,335,109,0,25,0,25,197,100,78,71,46,57,11,17,3,9,5576,583,601,166,900,298,977,271,567,202,835,203,535,150,1161,240
86000US33635,"33635",4990,492,253,146,0,21,43,49,39,40,87,68,84,107,0,21,0,21,4737,510,389,140,386,165,1062,378,696,254,806,229,571,166,827,205
86000US33637,"33637",5550,603,140,87,0,21,0,21,92,77,44,37,0,21,4,10,0,21,5410,612,453,167,1465,407,890,230,800,238,694,185,546,184,562,149
86000US33647,"33647",19594,1072,718,195,0,32,21,19,89,61,357,141,206,96,32,38,13,20,18876,1108,1951,414,2762,477,2685,408,2242,351,3189,414,2793,380,3254,434
86000US33701,"33701",3820,494,27,42,0,21,0,21,19,40,0,21,8,14,0,21,0,21,3793,495,401,208,615,168,681,201,723,206,243,85,463,157,667,160
86000US33702,"33702",7532,601,440,146,0,29,92,71,167,75,62,41,83,69,36,39,0,29,7092,603,748,188,648,191,1411,404,973,315,1058,244,899,215,1355,226
86000US33703,"33703",5712,516,330,224,0,25,198,211,45,46,27,42,60,36,0,25,0,25,5382,500,950,259,260,135,315,131,768,225,1084,253,802,163,1203,247
86000US33704,"33704",3626,335,209,95,9,16,1,2,48,48,92,67,53,49,6,10,0,21,3417,359,330,103,244,92,323,110,631,218,629,149,471,129,789,139
